SURVEY_INFO,esdate,ward,respid,gender,age,hhsize,educ,religion,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,corganizedae,csafeburial,bucket,handsanitizer,ECONOMIC_FOOD_IMPACTS,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation
,12/6/14 11:53,Z100-New KruTown,2001192,1-Male,42,8,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;8-Stomach pain;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,88,88-N/A,300,1-LD,88-Other
,12/6/14 13:23,Z100-New KruTown,2001153,2-Female,25,5,3-Some junior high,2-Muslim,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;7-Weakness,21,N,Y,Y,N,,Y,Y,,2-Hospital,,1-Agree,1-Agree,1-Yes,0-No,,1400,1-LD,3000,1-LD,4-Skilled manual
,12/6/14 11:51,Z100-New KruTown,2001152,2-Female,32,10,7-Some university,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes,21,N,Y,N,N,,Y,N,,,,1-Agree,1-Agree,1-Yes,1-Yes,,1500,1-LD,3000,1-LD,1-Professional
,12/6/14 12:19,Z100-New KruTown,2001113,1-Male,56,16,88-Other,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,2-Fever;4-Headache;7-Weakness;12-Bleeding,2,N,Y,N,N,,Y,Y,,2-Hospital,,1-Agree,1-Agree,1-Yes,1-Yes,,,,,,
,12/6/14 13:31,Z100-New KruTown,2001164,2-Female,50,11,5-Some high school,1-Christian,,4-Man woman business;5-Touching dead bodies,1-Vomiting;3-Diarrhea;9-Rash;10-Red eyes,5,N,Y,Y,N,,N,,,,,1-Agree,97-Do not know,1-Yes,1-Yes,,8000,1-LD,13000,1-LD,3-Sales and services
,1/9/15 12:17,Z100-New KruTown,2001135,1-Male,32,6,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;6-Contact with infected surfac;88-Other,2-Fever;5-Joint and muscle pain;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,200,1-LD,4000,1-LD,4-Skilled manual
,12/6/14 11:15,Z100-New KruTown,2002104,1-Male,23,4,5-Some high school,2-Muslim,,3-Bodily fluids of infected pe;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;15-Chills,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,400,1-LD,2500,1-LD,3-Sales and services
,12/5/14 14:42,Z100-New KruTown,2002201,2-Female,29,7,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;9-Rash;10-Red eyes,21,N,Y,Y,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,1-Yes,,1000,1-LD,3500,1-LD,3-Sales and services
,12/5/14 15:23,Z100-New KruTown,2004186,1-Male,32,9,5-Some high school,2-Muslim,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe,1-Vomiting;2-Fever;7-Weakness,5,N,Y,Y,N,,N,,,,,1-Agree,0-Disagree,1-Yes,1-Yes,,3000,1-LD,3000,1-LD,6-Domestic services
,12/5/14 15:41,Z100-New KruTown,2004122,1-Male,52,3,0-None,1-Christian,,5-Touching dead bodies;88-Other,1-Vomiting;3-Diarrhea,24,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,900,1-LD,2500,1-LD,5-Unskilled manual
,12/6/14 12:27,Z100-New KruTown,2002105,2-Female,82,7,6-Completed high school,1-Christian,,97-Dont know,1-Vomiting;2-Fever,14,Y,Y,Y,N,,Y,Y,,4-At home doctor or nurse,,1-Agree,0-Disagree,1-Yes,1-Yes,,0,1-LD,0,1-LD,0-None
,12/5/14 14:28,Z100-New KruTown,2002121,1-Male,46,10,8-Completed university,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other,1-Vomiting;3-Diarrhea;12-Bleeding,5,N,Y,N,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,0-No,,50,2-USD,10,1-LD,1-Professional
,1/6/15 12:29,Z100-New KruTown,2002144,2-Female,20,15,3-Some junior high,1-Christian,,6-Contact with infected surfac,1-Vomiting;3-Diarrhea;7-Weakness;11-Hiccups,2,N,Y,Y,N,,N,,,,,0-Disagree,1-Agree,0-No,0-No,,0,88-N/A,10,2-USD,0-None
,12/5/14 16:33,Z100-New KruTown,2004187,2-Female,50,12,0-None,1-Christian,,97-Dont know,1-Vomiting;97-Does not know,0,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,88-N/A,0,1-LD,0-None
,12/5/14 15:29,Z100-New KruTown,2002102,2-Female,52,15,0-None,1-Christian,,6-Contact with infected surfac;88-Other,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;10-Red eyes,3,Y,Y,N,N,,Y,Y,,2-Hospital,,1-Agree,1-Agree,1-Yes,1-Yes,,1000,1-LD,8000,1-LD,3-Sales and services
,12/5/14 14:19,Z100-New KruTown,2004144,1-Male,28,2,6-Completed high school,2-Muslim,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;7-Weakness;8-Stomach pain;10-Red eyes;12-Bleeding,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,0-No,1-Yes,,5,2-USD,10,2-USD,4-Skilled manual
,12/5/14 14:15,Z100-New KruTown,2004185,1-Male,26,5,7-Some university,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;3-Diarrhea;9-Rash,2,N,Y,N,Y,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,950,1-LD,950,1-LD,1-Professional
,12/5/14 15:43,Z100-New KruTown,2004172,2-Female,60,5,5-Some high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,2000,1-LD,3500,1-LD,1-Professional
,12/5/14 16:08,Z100-New KruTown,2002202,2-Female,34,10,0-None,2-Muslim,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes,7,Y,Y,Y,N,,Y,Y,,4-At home doctor or nurse,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,2000,1-LD,3-Sales and services
,12/5/14 16:14,Z100-New KruTown,2004145,2-Female,46,9,0-None,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;4-Headache;5-Joint and muscle pain;10-Red eyes,7,N,Y,Y,N,,N,,,,,0-Disagree,1-Agree,1-Yes,0-No,,5000,1-LD,1000,1-LD,6-Domestic services
,12/5/14 14:38,Z100-New KruTown,2004171,2-Female,23,10,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;4-Headache,5,N,Y,N,N,,N,,,,,0-Disagree,1-Agree,0-No,0-No,,1200,1-LD,5000,1-LD,0-None
,12/5/14 16:40,Z100-New KruTown,2004123,2-Female,34,8,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,2000,1-LD,5000,1-LD,4-Skilled manual
,12/6/14 9:48,Z100-New KruTown,2002103,1-Male,31,7,6-Completed high school,2-Muslim,,88-Other,1-Vomiting;9-Rash;10-Red eyes,0,N,Y,Y,Y,,N,Y,,,,0-Disagree,1-Agree,0-No,0-No,,0,1-LD,700,1-LD,4-Skilled manual
,12/5/14 14:17,Z100-New KruTown,2002101,1-Male,75,9,8-Completed university,1-Christian,,3-Bodily fluids of infected pe,1-Vomiting;3-Diarrhea;9-Rash,0,N,Y,Y,Y,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,1-Yes,,3000,1-LD,500,2-USD,1-Professional
,12/7/14 10:16,Z100-New KruTown,2003132,2-Female,40,5,0-None,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,10-Red eyes;18-Cough,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,250,1-LD,500,1-LD,3-Sales and services
,1/8/15 13:29,Z100-New KruTown,2003136,2-Female,51,10,0-None,1-Christian,,97-Dont know,1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;10-Red eyes,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,250,1-LD,350,1-LD,88-Other
,12/7/14 13:15,Z100-New KruTown,2003114,2-Female,25,7,3-Some junior high,1-Christian,,97-Dont know,1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;8-Stomach pain,7,Y,Y,N,N,,Y,N,,,,1-Agree,1-Agree,0-No,0-No,,400,1-LD,1000,1-LD,88-Other
,12/7/14 13:34,Z100-New KruTown,2003135,2-Female,36,8,2-Completed ABC,1-Christian,,97-Dont know,1-Vomiting;3-Diarrhea;4-Headache;10-Red eyes;18-Cough,4,Y,Y,Y,N,,Y,Y,,4-At home doctor or nurse,,1-Agree,1-Agree,1-Yes,0-No,,2000,1-LD,4000,1-LD,3-Sales and services
,12/7/14 10:27,Z100-New KruTown,2003151,2-Female,47,9,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;3-Diarrhea;6-Sore throat;7-Weakness;8-Stomach pain,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,5000,1-LD,300,1-LD,3-Sales and services
,12/7/14 12:12,Z100-New KruTown,2003134,1-Male,32,5,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,2-Fever,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,88-N/A,90,2-USD,5-Unskilled manual
,12/6/14 15:58,Z100-New KruTown,2003131,1-Male,64,5,7-Some university,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac,1-Vomiting;6-Sore throat;10-Red eyes;12-Bleeding,2,N,Y,N,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,1-Yes,,2000,1-LD,3500,1-LD,4-Skilled manual
,1/8/15 14:20,Z100-New KruTown,2003137,2-Female,29,5,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;10-Red eyes;18-Cough,21,N,Y,N,N,,Y,N,Y,,,97-Do not know,1-Agree,0-No,0-No,,10,2-USD,30,2-USD,2-Clerical
,12/6/14 16:06,Z100-New KruTown,2003191,1-Male,21,9,3-Some junior high,1-Christian,,2-Eating fruit bitten by bats;4-Man woman business;5-Touching dead bodies,1-Vomiting;10-Red eyes,2,Y,N,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,250,1-LD,400,1-LD,3-Sales and services
,12/7/14 11:15,Z100-New KruTown,2003112,2-Female,34,9,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;10-Red eyes,21,N,Y,N,N,,Y,N,,,,1-Agree,1-Agree,1-Yes,0-No,,500,1-LD,2000,1-LD,88-Other
,12/7/14 12:14,Z100-New KruTown,2003113,2-Female,41,5,3-Some junior high,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;88-Other,1-Vomiting;2-Fever;3-Diarrhea,2,Y,Y,Y,N,,Y,N,,,,1-Agree,1-Agree,0-No,0-No,,500,1-LD,3000,1-LD,88-Other
,12/7/14 10:20,Z100-New KruTown,2003212,1-Male,60,8,4-Completed junior high,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;10-Red eyes,7,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,200,1-LD,400,1-LD,3-Sales and services
,12/7/14 11:05,Z100-New KruTown,2003133,2-Female,41,5,6-Completed high school,1-Christian,,97-Dont know,97-Does not know,2,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,88-N/A,500,1-LD,6-Domestic services
,12/7/14 12:49,Z100-New KruTown,2003153,1-Male,48,8,7-Some university,1-Christian,,1-Preparing or eating bush mea;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;9-Rash,21,N,Y,Y,N,,N,,,,,0-Disagree,1-Agree,1-Yes,1-Yes,,100,1-LD,0,1-LD,1-Professional
,12/7/14 10:17,Z100-New KruTown,2003111,1-Male,80,20,8-Completed university,1-Christian,,4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea,21,Y,N,Y,N,,Y,N,,,,1-Agree,1-Agree,1-Yes,1-Yes,,500,1-LD,2000,1-LD,3-Sales and services
,12/6/14 15:59,Z100-New KruTown,2003161,1-Male,59,6,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,500,1-LD,5000,1-LD,4-Skilled manual
,12/7/14 12:54,Z100-New KruTown,2003194,1-Male,21,20,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;4-Headache;5-Joint and muscle pain,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,88-N/A,200,1-LD,2-Clerical
,12/7/14 11:13,Z100-New KruTown,2003193,1-Male,59,4,4-Completed junior high,1-Christian,,1-Preparing or eating bush mea;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash,1,Y,Y,N,N,,N,,,,,0-Disagree,0-Disagree,1-Yes,1-Yes,,100,1-LD,200,1-LD,4-Skilled manual
,12/7/14 11:35,Z100-New KruTown,2003152,1-Male,58,10,8-Completed university,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;4-Headache;5-Joint and muscle pain;7-Weakness;8-Stomach pain;9-Rash;11-Hiccups,6,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,10,2-USD,9000,1-LD,4-Skilled manual
,12/7/14 10:15,Z100-New KruTown,2003192,2-Female,34,5,7-Some university,1-Christian,,1-Preparing or eating bush mea;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;5-Joint and muscle pain;6-Sore throat,7,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,88-N/A,9000,1-LD,2-Clerical
,12/6/14 14:45,Z100-New KruTown,2004126,1-Male,45,17,7-Some university,1-Christian,,3-Bodily fluids of infected pe;6-Contact with infected surfac;88-Other,1-Vomiting;3-Diarrhea;10-Red eyes;88-Other,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,88-N/A,8000,1-LD,4-Skilled manual
,12/6/14 15:33,Z100-New KruTown,2004127,2-Female,26,4,5-Some high school,1-Christian,,4-Man woman business;5-Touching dead bodies;88-Other,4-Headache;7-Weakness;10-Red eyes;88-Other,21,N,Y,Y,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,0-No,,0,88-N/A,15,2-USD,5-Unskilled manual
,12/6/14 12:52,Z100-New KruTown,2004124,2-Female,35,8,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;88-Other,21,N,Y,N,Y,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,88-N/A,0,88-N/A,6-Domestic services
,12/6/14 14:10,Z100-New KruTown,2004174,1-Male,60,7,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe,1-Vomiting;2-Fever;3-Diarrhea;4-Headache,21,N,N,N,N,,,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,2000,1-LD,20,2-USD,4-Skilled manual
,12/6/14 12:04,Z100-New KruTown,2004423,2-Female,73,13,0-None,1-Christian,,1-Preparing or eating bush mea;5-Touching dead bodies;6-Contact with infected surfac;88-Other,3-Diarrhea;7-Weakness;12-Bleeding;13-Fatigue,2,N,Y,N,N,,N,,,,,1-Agree,97-Do not know,1-Yes,0-No,,0,88-N/A,0,88-N/A,4-Skilled manual
,12/6/14 11:46,Z100-New KruTown,2004472,1-Male,50,6,7-Some university,3-Other,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache,21,N,Y,Y,N,,N,,,,,0-Disagree,0-Disagree,1-Yes,1-Yes,,1400,1-LD,5000,1-LD,1-Professional
,12/6/14 10:47,Z100-New KruTown,2004471,2-Female,48,8,0-None,2-Muslim,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes,21,N,Y,N,N,,N,,,,,0-Disagree,0-Disagree,1-Yes,1-Yes,,,,,,
,12/6/14 11:04,Z100-New KruTown,2004422,2-Female,29,14,7-Some university,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other,4-Headache;7-Weakness;9-Rash;12-Bleeding;13-Fatigue;17-Chest pain;88-Other,21,N,Y,N,N,,Y,N,,,,1-Agree,97-Do not know,1-Yes,0-No,,20,2-USD,0,88-N/A,5-Unskilled manual
,12/6/14 10:39,Z100-New KruTown,2004146,2-Female,21,10,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes,21,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,1-LD,100,1-LD,0-None
,12/6/14 11:48,Z100-New KruTown,2004147,1-Male,52,7,8-Completed university,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain,21,N,Y,N,N,,N,,,,,0-Disagree,1-Agree,1-Yes,1-Yes,,1000,1-LD,3000,1-LD,1-Professional
,12/6/14 16:04,Z100-New KruTown,2004188,2-Female,42,5,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,1000,1-LD,1000,1-LD,4-Skilled manual
,12/6/14 13:09,Z100-New KruTown,2004173,2-Female,45,13,0-None,1-Christian,,97-Dont know,97-Does not know,21,N,Y,N,N,,N,,,,,1-Agree,97-Do not know,1-Yes,0-No,,2100,1-LD,14000,1-LD,0-None
,12/6/14 11:00,Z100-New KruTown,2004485,2-Female,50,10,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;6-Sore throat;7-Weakness,14,Y,Y,Y,N,,Y,N,,,,1-Agree,1-Agree,1-Yes,0-No,,500,1-LD,500,1-LD,3-Sales and services
,12/6/14 12:26,Z100-New KruTown,2004486,2-Female,20,25,5-Some high school,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;88-Other,1-Vomiting;3-Diarrhea;7-Weakness,3,N,Y,N,N,,Y,Y,,2-Hospital,,0-Disagree,1-Agree,0-No,1-Yes,,4000,1-LD,4000,1-LD,88-Other
